Date,Match Time,Team 1,Team 2,Team 1 Odds,Team 2 Odds,Team 1 line,Team 2 line
2024-03-28,3:05 PM EDT,LAA,BAL,-110,-110,7.5,7.5
2024-03-28,4:10 PM EDT,MIN,KC,+105,-125,8,8
2024-03-28,4:10 PM EDT,WAS,CIN,-115,-105,9,9
2024-03-28,4:10 PM EDT,SF,SD,-110,-110,7.5,7.5
2024-03-28,4:10 PM EDT,NYY,HOU,-120,+100,8.5,8.5
2024-03-28,4:10 PM EDT,STL,LAD,-120,+100,8.5,8.5
2024-03-28,4:10 PM EDT,PIT,MIA,-110,-110,7.5,7.5
2024-03-28,4:10 PM EDT,TOR,TB,-115,-105,7.5,7.5
2024-03-28,4:10 PM EDT,DET,CHW,-115,-105,7.5,7.5
2024-03-28,7:35 PM EDT,CHC,TEX,-120,+100,8,8
2024-03-28,10:07 PM EDT,CLE,OAK,+100,-120,7.5,7.5
2024-03-28,10:10 PM EDT,COL,AZ,-110,-110,8.5,8.5
2024-03-28,10:10 PM EDT,BOS,SEA,+100,-120,7.5,7.5
2024-03-31,1:35 PM EDT,ATL,PHI,+105,-125,8,8
2024-03-31,1:35 PM EDT,LAA,BAL,-115,-105,8.5,8.5
2024-03-31,1:40 PM EDT,MIL,NYM,-110,-110,8,8
2024-03-31,1:40 PM EDT,WAS,CIN,+100,-120,9.5,9.5
2024-03-31,1:40 PM EDT,TOR,TB,-120,+100,8,8
2024-03-31,1:40 PM EDT,PIT,MIA,-105,-115,8.5,8.5
2024-03-31,2:10 PM EDT,MIN,KC,-120,+100,9,9
2024-03-31,2:10 PM EDT,DET,CHW,-105,-115,8,8
2024-03-31,2:10 PM EDT,NYY,HOU,-110,-110,9.5,9.5
2024-03-31,2:35 PM EDT,CHC,TEX,-115,-105,9,9
2024-03-31,4:07 PM EDT,CLE,ATH,-110,-110,8.5,8.5
2024-03-31,4:10 PM EDT,BOS,SEA,-120,+100,7.5,7.5
2024-03-31,4:10 PM EDT,SF,SD,-120,+100,8.5,8.5
2024-03-31,4:10 PM EDT,COL,AZ,-110,-110,9,9
2024-03-31,7:10 PM EDT,STL,LAD,+110,-130,9,9
2024-04-01,2:10 PM EDT,ATL,CHW,-110,-110,9,9
2024-04-01,2:20 PM EDT,COL,CHC,-115,-105,7,7
2024-04-01,4:05 PM EDT,PIT,WAS,-110,-110,8.5,8.5
2024-04-01,6:35 PM EDT,KC,BAL,-120,+100,8,8
2024-04-01,6:40 PM EDT,CIN,PHI,-110,-110,8,8
2024-04-01,6:40 PM EDT,LAA,MIA,-125,+105,8.5,8.5
2024-04-01,6:50 PM EDT,TEX,TB,-120,+100,8.5,8.5
2024-04-01,7:10 PM EDT,DET,NYM,+105,-125,7.5,7.5
2024-04-01,8:10 PM EDT,TOR,HOU,-115,-105,9,9
2024-04-01,9:40 PM EDT,NYY,AZ,-110,-110,9.5,9.5
2024-04-01,9:40 PM EDT,STL,SD,+100,-120,8.5,8.5
2024-04-01,9:40 PM EDT,BOS,ATH,-115,-105,8,8
2024-04-01,9:40 PM EDT,CLE,SEA,-110,-110,8,8
2024-04-01,10:10 PM EDT,SF,LAD,-110,-110,8,8
2024-04-02,4:10 PM EDT,MIN,MIL,-115,-105,8.5,8.5
2024-04-02,6:35 PM EDT,KC,BAL,+100,-120,8.5,8.5
2024-04-02,6:40 PM EDT,CIN,PHI,-105,-115,8,8
2024-04-02,6:40 PM EDT,LAA,MIA,-105,-115,9,9
2024-04-02,6:50 PM EDT,TEX,TB,-105,-115,8.5,8.5
2024-04-02,7:40 PM EDT,COL,CHC,-110,-110,8.5,8.5
2024-04-02,7:40 PM EDT,ATL,CHW,-105,-115,9,9
2024-04-02,8:10 PM EDT,TOR,HOU,-105,-115,8.5,8.5
2024-04-02,9:40 PM EDT,NYY,AZ,+105,-125,9,9
2024-04-02,9:40 PM EDT,STL,SD,-105,-115,8,8
2024-04-02,9:40 PM EDT,BOS,ATH,-120,+100,8,8
2024-04-02,9:40 PM EDT,CLE,SEA,-120,+100,7,7
2024-04-02,10:10 PM EDT,SF,LAD,+100,-120,8.5,8.5
2024-04-03,1:05 PM EDT,KC,BAL,-120,+100,7,7
2024-04-03,1:10 PM EDT,LAA,MIA,-105,-115,9,9
2024-04-03,1:10 PM EDT,TEX,TB,-110,-110,7.5,7.5
2024-04-03,1:10 PM EDT,MIN,MIL,-120,+100,8.5,8.5
2024-04-03,3:37 PM EDT,BOS,ATH,+100,-120,8,8
2024-04-03,3:40 PM EDT,NYY,AZ,-120,+100,8.5,8.5
2024-04-03,4:05 PM EDT,CIN,PHI,-115,-105,7.5,7.5
2024-04-03,4:10 PM EDT,STL,SD,-110,-110,8.5,8.5
2024-04-03,4:10 PM EDT,CLE,SEA,+100,-120,7.5,7.5
2024-04-03,6:45 PM EDT,PIT,WAS,-105,-115,8.5,8.5
2024-04-03,7:40 PM EDT,COL,CHC,-120,+100,7,7
2024-04-03,8:10 PM EDT,TOR,HOU,+110,-130,9,9
2024-04-03,10:10 PM EDT,SF,LAD,-110,-110,8.5,8.5
2024-04-04,12:10 PM EDT,DET,NYM,-105,-115,7.5,7.5
2024-04-04,4:05 PM EDT,PIT,WAS,-115,-105,8.5,8.5
2024-04-04,4:10 PM EDT,CLE,MIN,-120,+100,7,7
2024-04-04,4:15 PM EDT,MIA,STL,-105,-115,8.5,8.5
2024-04-04,4:20 PM EDT,DET,NYM,-125,+105,7.5,7.5
2024-04-04,7:40 PM EDT,CHW,KC,-110,-110,8,8
2024-04-05,1:05 PM EDT,TOR,NYY,-115,-105,8.5,8.5
2024-04-05,1:10 PM EDT,OAK,DET,-125,+105,7,7
2024-04-05,2:20 PM EDT,LAD,CHC,+100,-120,7.5,7.5
2024-04-05,4:10 PM EDT,TB,COL,-115,-105,12.5,12.5
2024-04-05,4:12 PM EDT,BAL,PIT,-115,-105,7.5,7.5
2024-04-05,4:35 PM EDT,SD,SF,-115,-105,7.5,7.5
2024-04-05,6:40 PM EDT,NYM,CIN,-110,-110,9,9
2024-04-05,6:45 PM EDT,PHI,WAS,-115,-105,8,8
2024-04-05,7:20 PM EDT,AZ,ATL,-110,-110,9,9
2024-04-05,7:40 PM EDT,CHW,KC,-115,-105,8,8
2024-04-05,8:05 PM EDT,HOU,TEX,-125,+105,9.5,9.5
2024-04-05,8:10 PM EDT,SEA,MIL,-110,-110,7.5,7.5
2024-04-05,9:38 PM EDT,BOS,LAA,-125,+105,8.5,8.5
2024-04-06,1:10 PM EDT,ATH,DET,-110,-110,8.5,8.5
2024-04-06,2:10 PM EDT,CLE,MIN,-115,-105,8,8
2024-04-06,2:15 PM EDT,MIA,STL,+100,-120,8,8
2024-04-06,4:05 PM EDT,BAL,PIT,-115,-105,8.5,8.5
2024-04-06,4:05 PM EDT,LAD,CHC,+100,-120,8,8
2024-04-06,4:05 PM EDT,PHI,WAS,-115,-105,8,8
2024-04-06,4:10 PM EDT,NYM,CIN,+100,-120,9.5,9.5
2024-04-06,7:05 PM EDT,HOU,TEX,-110,-110,10,10
2024-04-06,7:05 PM EDT,TOR,NYY,-105,-115,7.5,7.5
2024-04-06,7:10 PM EDT,CHW,KC,-115,-105,9,9
2024-04-06,7:10 PM EDT,SEA,MIL,+100,-120,9,9
2024-04-06,7:20 PM EDT,AZ,ATL,-110,-110,9,9
2024-04-06,8:10 PM EDT,TB,COL,+100,-120,11.5,11.5
2024-04-06,9:05 PM EDT,SD,SF,-110,-110,8,8
2024-04-06,9:38 PM EDT,BOS,LAA,-110,-110,8,8
2024-04-07,1:35 PM EDT,PHI,WAS,-130,+110,7.5,7.5
2024-04-07,1:35 PM EDT,AZ,ATL,-105,-115,9,9
2024-04-07,1:35 PM EDT,BAL,PIT,-115,-105,8.5,8.5
2024-04-07,1:35 PM EDT,TOR,NYY,-115,-105,8,8
2024-04-07,1:40 PM EDT,ATH,DET,-125,+105,7.5,7.5
2024-04-07,1:40 PM EDT,NYM,CIN,-110,-110,8.5,8.5
2024-04-07,2:10 PM EDT,CHW,KC,+100,-120,9,9
2024-04-07,2:10 PM EDT,SEA,MIL,+100,-120,9,9
2024-04-07,2:15 PM EDT,MIA,STL,-115,-105,9,9
2024-04-07,2:20 PM EDT,LAD,CHC,-110,-110,8.5,8.5
2024-04-07,3:10 PM EDT,TB,COL,-105,-115,11.5,11.5
2024-04-07,4:05 PM EDT,SD,SF,+100,-120,8,8
2024-04-07,4:07 PM EDT,BOS,LAA,-115,-105,8.5,8.5
2024-04-07,7:10 PM EDT,HOU,TEX,-105,-115,10.5,10.5
2024-04-08,5:10 PM EDT,CHW,CLE,-115,-105,8,8
2024-04-08,6:05 PM EDT,MIA,NYY,-120,+100,8,8
2024-04-08,6:40 PM EDT,DET,PIT,-110,-110,8,8
2024-04-08,6:40 PM EDT,MIL,CIN,-110,-110,9.5,9.5
2024-04-08,7:07 PM EDT,SEA,TOR,-110,-110,8,8
2024-04-08,7:20 PM EDT,NYM,ATL,-115,-105,10,10
2024-04-08,7:40 PM EDT,LAD,MIN,-120,+100,8.5,8.5
2024-04-08,7:45 PM EDT,PHI,STL,+100,-120,9,9
2024-04-08,8:05 PM EDT,HOU,TEX,-110,-110,10,10
2024-04-08,8:40 PM EDT,AZ,COL,-120,+100,10.5,10.5
2024-04-08,9:38 PM EDT,TB,LAA,+100,-120,9,9
2024-04-08,9:40 PM EDT,CHC,SD,-115,-105,7.5,7.5
2024-04-08,9:45 PM EDT,WAS,SF,-115,-105,7.5,7.5
2024-04-09,12:35 PM EDT,DET,PIT,-105,-115,8.5,8.5
2024-04-09,2:10 PM EDT,BAL,BOS,-115,-105,8,8
2024-04-09,6:10 PM EDT,CHW,CLE,+105,-125,9,9
2024-04-09,6:40 PM EDT,MIL,CIN,-105,-115,9.5,9.5
2024-04-09,7:05 PM EDT,MIA,NYY,-120,+100,8,8
2024-04-09,7:07 PM EDT,SEA,TOR,-125,+105,8,8
2024-04-09,7:20 PM EDT,NYM,ATL,-105,-115,9.5,9.5
2024-04-09,7:40 PM EDT,HOU,KC,-105,-115,8.5,8.5
2024-04-09,7:40 PM EDT,LAD,MIN,-110,-110,8,8
2024-04-09,7:45 PM EDT,PHI,STL,+100,-120,7.5,7.5
2024-04-09,8:05 PM EDT,ATH,TEX,-120,+100,8.5,8.5
2024-04-09,8:40 PM EDT,AZ,COL,-110,-110,11,11
2024-04-09,9:38 PM EDT,TB,LAA,-110,-110,8.5,8.5
2024-04-09,9:45 PM EDT,WAS,SF,-115,-105,8.5,8.5
2024-04-09,10:05 PM EDT,CHC,SD,-105,-115,8,8
2024-04-10,1:10 PM EDT,LAD,MIN,-110,-110,8.5,8.5
2024-04-10,1:15 PM EDT,PHI,STL,-120,+100,7.5,7.5
2024-04-10,3:07 PM EDT,SEA,TOR,-120,+100,8,8
2024-04-10,3:10 PM EDT,AZ,COL,-110,-110,11,11
2024-04-10,3:45 PM EDT,WAS,SF,+100,-120,8.5,8.5
2024-04-10,4:07 PM EDT,TB,LAA,-120,+100,9,9
2024-04-10,6:10 PM EDT,CHW,CLE,+100,-120,7.5,7.5
2024-04-10,6:40 PM EDT,CHC,SD,-120,+100,8,8
2024-04-10,6:40 PM EDT,MIL,CIN,-105,-115,8.5,8.5
2024-04-10,7:05 PM EDT,MIA,NYY,-115,-105,8.5,8.5
2024-04-10,7:10 PM EDT,BAL,BOS,-110,-110,9,9
2024-04-10,7:40 PM EDT,HOU,KC,-120,+100,9.5,9.5
2024-04-10,8:05 PM EDT,ATH,TEX,-110,-110,9,9
2024-04-11,12:20 PM EDT,NYM,ATL,-125,+105,9.5,9.5
2024-04-11,2:10 PM EDT,HOU,KC,-110,-110,8.5,8.5
2024-04-11,2:35 PM EDT,ATH,TEX,-105,-115,9.5,9.5
2024-04-11,6:40 PM EDT,PIT,PHI,-120,+100,9,9
2024-04-11,7:10 PM EDT,BAL,BOS,+105,-125,8.5,8.5
2024-04-12,6:40 PM EDT,MIN,DET,-115,-105,7,7
2024-04-12,6:40 PM EDT,PIT,PHI,-120,+100,9,9
2024-04-12,6:50 PM EDT,SF,TB,-110,-110,8.5,8.5
2024-04-12,7:05 PM EDT,MIL,BAL,-110,-110,8.5,8.5
2024-04-12,7:07 PM EDT,COL,TOR,-105,-115,8,8
2024-04-12,7:10 PM EDT,ATL,MIA,-120,+100,8.5,8.5
2024-04-12,7:10 PM EDT,KC,NYM,-115,-105,8.5,8.5
2024-04-12,7:10 PM EDT,LAA,BOS,-110,-110,9,9
2024-04-12,7:40 PM EDT,CIN,CHW,+100,-120,9.5,9.5
2024-04-12,8:10 PM EDT,TEX,HOU,-115,-105,9,9
2024-04-12,9:40 PM EDT,WAS,ATH,-105,-115,8,8
2024-04-12,9:40 PM EDT,CHC,SEA,+100,-120,8,8
2024-04-12,9:40 PM EDT,STL,AZ,-110,-110,9.5,9.5
2024-04-12,10:10 PM EDT,SD,LAD,+100,-120,8.5,8.5
2024-04-14,1:35 PM EDT,LAA,BOS,-115,-105,10,10
2024-04-14,1:35 PM EDT,MIL,BAL,-135,+115,8.5,8.5
2024-04-14,1:35 PM EDT,PIT,PHI,-120,+100,8.5,8.5
2024-04-14,1:37 PM EDT,COL,TOR,-110,-110,8.5,8.5
2024-04-14,1:40 PM EDT,KC,NYM,-105,-115,8.5,8.5
2024-04-14,1:40 PM EDT,ATL,MIA,-110,-110,8.5,8.5
2024-04-14,1:40 PM EDT,MIN,DET,-110,-110,8.5,8.5
2024-04-14,1:40 PM EDT,SF,TB,-120,+100,8,8
2024-04-14,1:40 PM EDT,NYY,CLE,-120,+100,8.5,8.5
2024-04-14,2:10 PM EDT,CIN,CHW,-120,+100,9,9
2024-04-14,2:10 PM EDT,TEX,HOU,-115,-105,8.5,8.5
2024-04-14,4:07 PM EDT,WAS,ATH,+100,-120,8.5,8.5
2024-04-14,4:10 PM EDT,CHC,SEA,-115,-105,7,7
2024-04-14,4:10 PM EDT,STL,AZ,-120,+100,8.5,8.5
2024-04-14,7:10 PM EDT,SD,LAD,-120,+100,8.5,8.5
2024-04-15,11:10 AM EDT,CLE,BOS,-105,-115,9.5,9.5
2024-04-15,6:35 PM EDT,MIN,BAL,+100,-120,9,9
2024-04-15,6:40 PM EDT,TEX,DET,-105,-115,8.5,8.5
2024-04-15,6:40 PM EDT,COL,PHI,-115,-105,8.5,8.5
2024-04-15,6:40 PM EDT,SF,MIA,-115,-105,8.5,8.5
2024-04-15,6:50 PM EDT,LAA,TB,-130,+110,8,8
2024-04-15,7:07 PM EDT,NYY,TOR,-115,-105,8.5,8.5
2024-04-15,7:10 PM EDT,PIT,NYM,-110,-110,8.5,8.5
2024-04-15,7:40 PM EDT,KC,CHW,-105,-115,8,8
2024-04-15,7:40 PM EDT,SD,MIL,-105,-115,8.5,8.5
2024-04-15,8:10 PM EDT,ATL,HOU,+100,-120,10.5,10.5
2024-04-15,9:40 PM EDT,CHC,AZ,-120,+100,8.5,8.5
2024-04-15,9:40 PM EDT,STL,ATH,-110,-110,7.5,7.5
2024-04-15,9:42 PM EDT,CIN,SEA,-110,-110,7,7
2024-04-15,10:10 PM EDT,WAS,LAD,-110,-110,8.5,8.5
2024-04-16,1:10 PM EDT,TEX,DET,-115,-105,8,8
2024-04-16,6:35 PM EDT,MIN,BAL,+105,-125,8.5,8.5
2024-04-16,6:40 PM EDT,COL,PHI,-105,-115,8.5,8.5
2024-04-16,6:40 PM EDT,SF,MIA,-115,-105,8.5,8.5
2024-04-16,6:50 PM EDT,LAA,TB,-115,-105,8,8
2024-04-16,7:07 PM EDT,NYY,TOR,+110,-130,8.5,8.5
2024-04-16,7:10 PM EDT,PIT,NYM,+100,-120,7.5,7.5
2024-04-16,7:10 PM EDT,CLE,BOS,-115,-105,8,8
2024-04-16,7:40 PM EDT,SD,MIL,-110,-110,8.5,8.5
2024-04-16,8:10 PM EDT,ATL,HOU,+100,-120,9.5,9.5
2024-04-16,9:40 PM EDT,CHC,AZ,-120,+100,10,10
2024-04-16,9:40 PM EDT,CIN,SEA,+105,-125,7,7
2024-04-16,9:40 PM EDT,STL,ATH,-110,-110,8,8
2024-04-16,10:10 PM EDT,WAS,LAD,+100,-120,9.5,9.5
2024-04-17,12:10 PM EDT,SF,MIA,-110,-110,8,8
2024-04-17,1:05 PM EDT,MIN,BAL,-110,-110,8.5,8.5
2024-04-17,1:10 PM EDT,SD,MIL,+105,-125,8.5,8.5
2024-04-17,1:10 PM EDT,TEX,DET,-110,-110,7.5,7.5
2024-04-17,1:10 PM EDT,PIT,NYM,+100,-120,8,8
2024-04-17,2:10 PM EDT,ATL,HOU,-125,+105,9,9
2024-04-17,2:10 PM EDT,KC,CHW,+100,-120,9,9
2024-04-17,3:07 PM EDT,NYY,TOR,-110,-110,8.5,8.5
2024-04-17,3:10 PM EDT,WAS,LAD,+100,-120,9.5,9.5
2024-04-17,3:37 PM EDT,STL,ATH,-105,-115,8,8
2024-04-17,3:40 PM EDT,CHC,AZ,-110,-110,9,9
2024-04-17,4:10 PM EDT,CIN,SEA,-105,-115,7.5,7.5
2024-04-17,5:25 PM EDT,KC,CHW,-125,+105,8.5,8.5
2024-04-17,6:05 PM EDT,COL,PHI,-105,-115,8,8
2024-04-17,6:50 PM EDT,LAA,TB,-105,-115,8.5,8.5
2024-04-17,7:10 PM EDT,CLE,BOS,-105,-115,8.5,8.5
2024-04-18,1:10 PM EDT,LAA,TB,-115,-105,8.5,8.5
2024-04-18,1:10 PM EDT,TEX,DET,-110,-110,9,9
2024-04-18,1:35 PM EDT,CLE,BOS,-105,-115,8.5,8.5
2024-04-18,9:45 PM EDT,AZ,SF,-115,-105,7.5,7.5
2024-04-19,2:20 PM EDT,MIA,CHC,-105,-115,9.5,9.5
2024-04-19,6:40 PM EDT,LAA,CIN,-110,-110,9.5,9.5
2024-04-19,6:40 PM EDT,BOS,PIT,+100,-120,8.5,8.5
2024-04-19,6:40 PM EDT,CHW,PHI,-120,+100,7.5,7.5
2024-04-19,6:45 PM EDT,HOU,WAS,-115,-105,8.5,8.5
2024-04-19,7:05 PM EDT,TB,NYY,-110,-110,8.5,8.5
2024-04-19,7:10 PM EDT,ATH,CLE,-105,-115,8,8
2024-04-19,7:20 PM EDT,TEX,ATL,+100,-120,9.5,9.5
2024-04-19,7:40 PM EDT,BAL,KC,-120,+100,9,9
2024-04-19,8:10 PM EDT,DET,MIN,+110,-130,7,7
2024-04-19,8:15 PM EDT,MIL,STL,-115,-105,7,7
2024-04-19,9:40 PM EDT,TOR,SD,-105,-115,8.5,8.5
2024-04-19,10:10 PM EDT,NYM,LAD,+100,-120,8.5,8.5
2024-04-19,10:15 PM EDT,AZ,SF,+105,-125,8,8
2024-04-20,1:05 PM EDT,TB,NYY,+100,-120,9,9
2024-04-20,2:10 PM EDT,DET,MIN,-115,-105,7,7
2024-04-20,2:15 PM EDT,MIL,STL,-120,+100,8,8
2024-04-20,2:20 PM EDT,MIA,CHC,-115,-105,8,8
2024-04-20,4:05 PM EDT,AZ,SF,-105,-115,8,8
2024-04-20,4:05 PM EDT,HOU,WAS,-105,-115,9.5,9.5
2024-04-20,4:05 PM EDT,NYM,LAD,+100,-120,9.5,9.5
2024-04-20,4:05 PM EDT,BOS,PIT,-115,-105,7.5,7.5
2024-04-20,6:05 PM EDT,CHW,PHI,-120,+100,7.5,7.5
2024-04-20,6:10 PM EDT,ATH,CLE,-105,-115,7.5,7.5
2024-04-20,6:40 PM EDT,LAA,CIN,+100,-120,9.5,9.5
2024-04-20,7:10 PM EDT,BAL,KC,+100,-120,7.5,7.5
2024-04-20,7:20 PM EDT,TEX,ATL,-115,-105,9,9
2024-04-20,7:40 PM EDT,MIA,CHC,-110,-110,8.5,8.5
2024-04-20,8:10 PM EDT,SEA,COL,-110,-110,10,10
2024-04-20,8:40 PM EDT,TOR,SD,-110,-110,7.5,7.5
2024-04-21,1:35 PM EDT,BOS,PIT,+100,-120,8,8
2024-04-21,1:35 PM EDT,HOU,WAS,+110,-130,9,9
2024-04-21,1:35 PM EDT,TB,NYY,-120,+100,8,8
2024-04-21,1:35 PM EDT,CHW,PHI,-115,-105,7.5,7.5
2024-04-21,1:40 PM EDT,LAA,CIN,-120,+100,9,9
2024-04-21,1:40 PM EDT,ATH,CLE,+100,-120,7.5,7.5
2024-04-21,2:10 PM EDT,BAL,KC,-105,-115,9,9
2024-04-21,2:10 PM EDT,DET,MIN,+100,-120,8,8
2024-04-21,2:15 PM EDT,MIL,STL,-105,-115,7.5,7.5
2024-04-21,2:20 PM EDT,MIA,CHC,+100,-120,8.5,8.5
2024-04-21,3:10 PM EDT,SEA,COL,+100,-120,10.5,10.5
2024-04-21,4:05 PM EDT,AZ,SF,-120,+100,7.5,7.5
2024-04-21,4:10 PM EDT,TOR,SD,+100,-120,8,8
2024-04-21,4:10 PM EDT,NYM,LAD,-105,-115,9,9
2024-04-21,7:10 PM EDT,TEX,ATL,-105,-115,10,10
2024-04-21,8:10 PM EDT,SEA,COL,-110,-110,11,11
2024-04-22,1:05 PM EDT,ATH,NYY,-110,-110,8.5,8.5
2024-04-22,6:40 PM EDT,PHI,CIN,+100,-120,8,8
2024-04-22,6:40 PM EDT,MIL,PIT,+105,-125,7.5,7.5
2024-04-22,6:50 PM EDT,DET,TB,+100,-120,7.5,7.5
2024-04-22,7:20 PM EDT,MIA,ATL,-105,-115,9.5,9.5
2024-04-22,7:40 PM EDT,CHW,MIN,-115,-105,8.5,8.5
2024-04-22,7:40 PM EDT,TOR,KC,-125,+105,9,9
2024-04-22,7:45 PM EDT,AZ,STL,-120,+100,8.5,8.5
2024-04-22,8:40 PM EDT,SD,COL,-115,-105,10.5,10.5
2024-04-22,9:38 PM EDT,BAL,LAA,-120,+100,8.5,8.5
2024-04-22,9:45 PM EDT,NYM,SF,-120,+100,8,8
2024-04-23,6:10 PM EDT,BOS,CLE,-105,-115,8,8
2024-04-23,6:40 PM EDT,PHI,CIN,+105,-125,9,9
2024-04-23,6:40 PM EDT,MIL,PIT,-115,-105,8.5,8.5
2024-04-23,6:45 PM EDT,LAD,WAS,-120,+100,9.5,9.5
2024-04-23,6:50 PM EDT,DET,TB,-105,-115,8,8
2024-04-23,7:05 PM EDT,ATH,NYY,-105,-115,8,8
2024-04-23,7:20 PM EDT,MIA,ATL,-105,-115,8.5,8.5
2024-04-23,7:40 PM EDT,HOU,CHC,-115,-105,10.5,10.5
2024-04-23,7:40 PM EDT,TOR,KC,-105,-115,8.5,8.5
2024-04-23,7:40 PM EDT,CHW,MIN,-110,-110,7,7
2024-04-23,7:45 PM EDT,AZ,STL,-120,+100,8.5,8.5
2024-04-23,8:05 PM EDT,SEA,TEX,-105,-115,9,9
2024-04-23,8:40 PM EDT,SD,COL,-110,-110,9.5,9.5
2024-04-23,9:38 PM EDT,BAL,LAA,-115,-105,8.5,8.5
2024-04-23,9:45 PM EDT,NYM,SF,+100,-120,7,7
2024-04-24,1:15 PM EDT,AZ,STL,-120,+100,7.5,7.5
2024-04-24,3:45 PM EDT,NYM,SF,-110,-110,7.5,7.5
2024-04-24,4:07 PM EDT,BAL,LAA,-115,-105,9.5,9.5
2024-04-24,6:10 PM EDT,BOS,CLE,-115,-105,7.5,7.5
2024-04-24,6:40 PM EDT,PHI,CIN,-115,-105,8,8
2024-04-24,6:40 PM EDT,MIL,PIT,-115,-105,8,8
2024-04-24,6:45 PM EDT,LAD,WAS,-105,-115,9.5,9.5
2024-04-24,6:50 PM EDT,DET,TB,-115,-105,8,8
2024-04-24,7:05 PM EDT,ATH,NYY,-105,-115,8.5,8.5
2024-04-24,7:20 PM EDT,MIA,ATL,-105,-115,9,9
2024-04-24,7:40 PM EDT,HOU,CHC,-110,-110,7.5,7.5
2024-04-24,7:40 PM EDT,CHW,MIN,-120,+100,6.5,6.5
2024-04-24,7:40 PM EDT,TOR,KC,-115,-105,8.5,8.5
2024-04-24,8:05 PM EDT,SEA,TEX,-130,+110,8.5,8.5
2024-04-24,8:40 PM EDT,SD,COL,-110,-110,11,11
2024-04-25,12:35 PM EDT,MIL,PIT,-120,+100,6.5,6.5
2024-04-25,1:10 PM EDT,CHW,MIN,-115,-105,8,8
2024-04-25,1:10 PM EDT,PHI,CIN,-105,-115,8,8
2024-04-25,1:10 PM EDT,BOS,CLE,-105,-115,7.5,7.5
2024-04-25,2:10 PM EDT,TOR,KC,-105,-115,7.5,7.5
2024-04-25,2:20 PM EDT,HOU,CHC,+100,-120,7.5,7.5
2024-04-25,2:35 PM EDT,SEA,TEX,-105,-115,9,9
2024-04-25,3:10 PM EDT,SD,COL,-105,-115,11,11
2024-04-25,4:05 PM EDT,LAD,WAS,-110,-110,7.5,7.5
2024-04-25,7:05 PM EDT,ATH,NYY,-105,-115,7.5,7.5
2024-04-26,1:10 PM EDT,KC,DET,+105,-125,8,8
2024-04-26,7:05 PM EDT,ATH,BAL,-105,-115,7.5,7.5
2024-04-26,7:07 PM EDT,LAD,TOR,-110,-110,9,9
2024-04-26,7:10 PM EDT,CHC,BOS,-115,-105,7.5,7.5
2024-04-26,7:10 PM EDT,STL,NYM,-115,-105,7.5,7.5
2024-04-26,7:10 PM EDT,WAS,MIA,-105,-115,8.5,8.5
2024-04-26,7:20 PM EDT,CLE,ATL,-105,-115,8.5,8.5
2024-04-26,7:40 PM EDT,TB,CHW,+105,-125,7.5,7.5
2024-04-26,8:05 PM EDT,CIN,TEX,-115,-105,8.5,8.5
2024-04-26,8:10 PM EDT,NYY,MIL,-120,+100,8.5,8.5
2024-04-26,9:38 PM EDT,MIN,LAA,-120,+100,8,8
2024-04-26,9:40 PM EDT,PHI,SD,+105,-125,7.5,7.5
2024-04-26,9:40 PM EDT,AZ,SEA,-105,-115,7.5,7.5
2024-04-26,10:15 PM EDT,PIT,SF,-105,-115,8,8
2024-04-27,3:07 PM EDT,LAD,TOR,-120,+100,7.5,7.5
2024-04-27,4:05 PM EDT,ATH,BAL,-115,-105,8,8
2024-04-27,4:05 PM EDT,STL,NYM,-110,-110,7.5,7.5
2024-04-27,4:05 PM EDT,CIN,TEX,-105,-115,8.5,8.5
2024-04-27,4:10 PM EDT,CHC,BOS,-110,-110,9,9
2024-04-27,4:10 PM EDT,WAS,MIA,-115,-105,7.5,7.5
2024-04-27,6:05 PM EDT,HOU,COL,-110,-110,16.5,16.5
2024-04-27,6:10 PM EDT,KC,DET,-115,-105,8,8
2024-04-27,7:10 PM EDT,NYY,MIL,-120,+100,8.5,8.5
2024-04-27,7:10 PM EDT,TB,CHW,-120,+100,8.5,8.5
2024-04-27,7:20 PM EDT,CLE,ATL,-110,-110,8.5,8.5
2024-04-27,8:40 PM EDT,PHI,SD,+100,-120,7.5,7.5
2024-04-27,9:05 PM EDT,PIT,SF,-110,-110,7.5,7.5
2024-04-27,9:38 PM EDT,MIN,LAA,-130,+110,8.5,8.5
2024-04-27,9:40 PM EDT,AZ,SEA,-120,+100,7,7
2024-04-28,1:35 PM EDT,ATH,BAL,-105,-115,8.5,8.5
2024-04-28,1:35 PM EDT,CLE,ATL,-115,-105,9,9
2024-04-28,1:37 PM EDT,LAD,TOR,+100,-120,8.5,8.5
2024-04-28,1:40 PM EDT,WAS,MIA,-105,-115,8.5,8.5
2024-04-28,1:40 PM EDT,KC,DET,-105,-115,7.5,7.5
2024-04-28,1:40 PM EDT,STL,NYM,-115,-105,8,8
2024-04-28,2:10 PM EDT,NYY,MIL,-105,-115,8.5,8.5
2024-04-28,2:10 PM EDT,TB,CHW,+100,-120,8.5,8.5
2024-04-28,2:35 PM EDT,CIN,TEX,-105,-115,9,9
2024-04-28,4:05 PM EDT,HOU,COL,-110,-110,16,16
2024-04-28,4:05 PM EDT,PIT,SF,+100,-120,7.5,7.5
2024-04-28,4:07 PM EDT,MIN,LAA,-120,+100,7.5,7.5
